artist,song,id,key,mode,loudness,danceability,valence,tempo,instrumentalness,liveness,energy
The Doors,Close To You - Live At The Aquarius - The Second Performance LP Version,6dDAEBJGbFdN1ykSjeqzDV,7,1,-19.108,0.639,0.574,116.339,0.000463,0.695,0.27699999999999997
Noel Gallagher's High Flying Birds,(Stranded On) The Wrong Beach,5mgBfx8KgHUWB0q3gGUx5d,7,0,-3.659,0.47700000000000004,0.281,123.12899999999999,0.131,0.703,0.915
Wings,Deliver Your Children - 1993 Digital Remaster,3FskvRCO2wyG5t1Ma94NaZ,9,0,-12.312999999999999,0.526,0.838,170.375,2.73e-06,0.203,0.6609999999999999
US Marine Band,The White Cockade (Fife and Drum),1PwsDNCoodF3Jglf6adGZT,11,0,-31.8,0.584,0.242,97.68,0.8320000000000001,0.105,0.105
The Hillbilly Moon Explosion,Ellie Lou,0JBPzw7WBeRFcEcBVCYqVc,9,0,-7.417999999999999,0.675,0.7829999999999999,135.872,2.3100000000000002e-05,0.38299999999999995,0.6729999999999999
Savant,Gunslinger Jones - Original Mix,5kEPBRWPA7iV6g55T1qOoD,0,0,-12.134,0.71,0.792,121.833,0.0546,0.33,0.419
Marco Masini,Lontano dai tuoi angeli,1j87BDihMM04v4Hjq6I8JU,2,1,-6.784,0.41,0.355,128.86,0.0,0.195,0.473
Cuban Jazz Combo,Remember Cal - Panaphonic Remix,4nJGiV2JJbFgv1P50ehGz9,10,0,-9.912,0.6679999999999999,0.805,123.944,0.767,0.2,0.885
Tanya Stephens,Point Pon A Man,6NeonJ5xfE4NDJ5TVenjSZ,1,1,-6.454,0.8140000000000001,0.8190000000000001,95.71799999999999,0.000145,0.163,0.845
Calabrese,The Man Who Lived Twice,4Cp435Voyo8XWQSkuVAzy6,7,0,-4.039,0.215,0.256,97.501,0.262,0.165,0.9570000000000001
Swell Session,A Heart to Cover For,1SxlfgYoj0uJNYW081nWiJ,1,1,-7.218,0.6970000000000001,0.5920000000000001,98.365,0.0756,0.126,0.7490000000000001
Stapleton,Sometimes they do but they don't tell me,3ROjRfD9HCX4rmuOfoEpwO,2,1,-14.19,0.41,0.0984,144.898,0.527,0.129,0.259
Merchandise,Exile and Ego,2bztwuqlc1u2mlzqMcM0kf,2,1,-14.616,0.36200000000000004,0.157,116.90799999999999,0.0676,0.0945,0.23600000000000002
Panacea,Walk in the Park - Instrumental,564uCZRoVHp2MK8ewLR2SC,11,0,-9.104,0.826,0.494,89.995,0.5379999999999999,0.136,0.557
Les Baxter,Shoutin' Drums,4y6jKTMU028Szn8LYUrTst,2,1,-11.042,0.429,0.6709999999999999,155.692,0.809,0.0764,0.8540000000000001
Boy Friend,Rogue Waves II,5s70o3UZixHh3k3AdyStCy,1,0,-23.811,0.0684,0.0327,72.751,0.8640000000000001,0.0844,0.11699999999999999
Gregor Tresher,Pelican Dreaming,6glt32nbITTGWpOdARlEIy,9,0,-10.794,0.7829999999999999,0.406,120.04,0.905,0.147,0.537
The Violet Tribe,Starry Night (The Ballroom),1SC45Nb6aE0yDKLIcIAS6x,4,0,-11.005,0.546,0.23399999999999999,84.022,0.00941,0.0982,0.635
Rex Mundi,Hidden Treasures - Original Mix,0jqcKVUIBYeUNStVapgbCT,7,1,-5.34,0.628,0.192,127.988,0.836,0.0762,0.945
Philogresz,Isolated Funk Ensemble - Sarah Goldfarb Mix,4NxFpSewmN8rVgnq9pv50X,9,0,-9.357999999999999,0.6709999999999999,0.775,123.99700000000001,0.9259999999999999,0.11,0.599
Stereophonics,Maybe Tomorrow,6SXy02aTZU3ysoGUixYCz0,7,0,-6.74,0.494,0.64,80.837,0.000275,0.342,0.669
Travis Cottrell,Let It Snow / Frosty the Snowman,1rQo5PQuzjvhDENtxnx3ny,8,1,-9.122,0.425,0.574,76.613,0.0,0.18100000000000002,0.513
The Keffat Liv,Sjukare Än Jag,6duItudYmcRd96l45PoKNl,11,1,-9.746,0.747,0.44,91.676,0.0,0.319,0.545
Broadway Calls,Stealing Sailboats,4rQqT8I2pu0AZHFUV1PVq0,0,1,-4.408,0.473,0.879,150.011,0.0,0.154,0.966
Billy Paul,My Head's On Straight,3bL3Q7RPzST59rgRLo7koY,0,1,-11.652999999999999,0.34,0.825,174.13,0.00488,0.489,0.58
Frontliner,Rains Of Fire,5AyO347D3sql01aUNiokW4,1,1,-6.899,0.498,0.322,150.042,0.012,0.0871,0.85
Takénobu,King of Camelot,4tg1dZ2NtMIswI9qnrv7WN,9,1,-7.956,0.46799999999999997,0.58,82.00299999999999,0.742,0.105,0.748
Edward Elgar,Carillon - 1914 recording,5xFWALIGrLLbYzUS3BhKuA,10,1,-19.92,0.41100000000000003,0.2,69.354,0.0434,0.134,0.0182
Skalpel,Break In - Backini Remix,4od10a8WsHVPCSr5qLxF8Y,0,1,-14.015,0.397,0.414,131.264,0.785,0.0695,0.466
Gustav Mahler,Das Lied von der Erde: VI. Der Abschied. Schwer,1VDUqm8tTdXyIjB67A2V46,5,1,-19.458,0.166,0.0359,96.67299999999999,0.0611,0.102,0.0879
Daryl Hall,I Wasn't Born Yesterday,5GupTAKmTOxEaEOBdpv2Um,8,1,-8.291,0.652,0.541,108.789,0.000327,0.34600000000000003,0.87
Khalil Chahine,Mektoub 3,0TBlVhJEudNXpbVF0gI4Ar,11,0,-9.51,0.609,0.45799999999999996,125.465,0.605,0.107,0.5760000000000001
Sam Mangwana,Furaha Ya Bibi,3XGCYDNtugVUhb6ipR47lM,7,1,-14.767000000000001,0.7559999999999999,0.9,118.6,0.612,0.10300000000000001,0.38299999999999995
Golabek,Babe (Don't Feed the Wildlife),7K54JEvL6l4BBQxdCAriL3,9,0,-5.249,0.461,0.7340000000000001,120.009,2.96e-06,0.649,0.892
Semisonic,If I Run,4IT46qiV67e3rdeZQJWk3N,9,1,-7.19,0.5,0.5329999999999999,92.963,0.244,0.0772,0.8029999999999999
Hank Thompson,Drunkard's Blues,7A7hEZhEyW19cxBHJeJEEn,9,1,-13.734000000000002,0.527,0.336,86.48899999999999,0.0,0.0624,0.299
Orchestral Manoeuvres In The Dark,Genetic Engineering,6Unosw80CJYkghy6EaikMw,7,1,-8.086,0.625,0.88,128.571,0.581,0.27699999999999997,0.9470000000000001
Portland Cello Project,All of the Lights (Remastered) (Bonus Track),0DaPpk9beZ2ZRnAm52wcEO,0,1,-9.892999999999999,0.542,0.49200000000000005,132.144,0.8640000000000001,0.0842,0.574
Gabrielle,Regn fra blå himmel,7jAMsxpMUi7bHtjoQwyogR,0,1,-5.742000000000001,0.57,0.516,153.064,0.000811,0.0698,0.634
Chihei Hatakeyama,Gray Hued Sky,3ZcY751AFMOrREGJkSsDz3,2,1,-18.386,0.19399999999999998,0.0363,64.55,0.9129999999999999,0.28300000000000003,0.21100000000000002
Gigi,Abet Wubet,4ZnUJF8SbED2U85KIV1KsN,1,1,-7.888,0.568,0.573,88.816,0.00757,0.0792,0.588
Rowwen Hèze,Helenaveen,1L3qzJxBakmJ6hPLYY9wQC,0,0,-6.917999999999999,0.335,0.489,111.765,0.0,0.0906,0.418
Dj Mazeltof,Yeah - Original Club Mix,5mSyKtx2St4l9D2MpOtjZR,9,0,-5.183,0.8190000000000001,0.45399999999999996,140.003,0.511,0.0767,0.99
The Beta Band,Assessment,1KUGMPyR6Kk0IT5HzIZ7IS,1,1,-5.1770000000000005,0.309,0.545,119.96799999999999,0.8320000000000001,0.38299999999999995,0.838
Sound 5,"Hacienda Must Be Rebuilt, The",307O5gOvODWiNLKIhvSGNB,6,1,-11.827,0.397,0.26899999999999996,129.32299999999998,0.513,0.182,0.9440000000000001
Overkill,Within Your Eyes,03338jN4rKAfko3nFJiL6G,8,1,-5.881,0.235,0.09699999999999999,95.867,0.636,0.9159999999999999,0.9640000000000001
Buck 65,Blood Of A Young Wolf,2AlmuEyTmhFsU1PfyKveL0,0,1,-8.164,0.711,0.531,126.473,0.00049,0.0889,0.6970000000000001
Balthazar,Blues for Rosann,38OfGJAxrejii61zQaLxvk,2,0,-6.501,0.628,0.619,122.915,0.000245,0.363,0.77
The Juliana Theory,Understand The Dream Is Over,3L3WZqsIkp0keLqCrhVOFC,2,1,-4.867,0.38299999999999995,0.64,169.012,8.78e-06,0.396,0.884
Pedro Aznar,El Otro Pais,518qr32gB9IJTKmwMf9bEI,6,0,-12.657,0.40399999999999997,0.23,174.695,0.0,0.708,0.292
Gustavo Santaolalla,La Muerte de la Poderosa,32LHf2M6iaMXtqPlHw0aPG,7,1,-12.699000000000002,0.325,0.0621,72.914,0.857,0.106,0.151
